"","level","Overall","AD","CN","LMCI","p","test"
"n","","    761","    169","    217","    375","",""
"AGE (mean (SD))","","  75.21 (6.76)","  75.16 (7.50)","  75.95 (5.06)","  74.80 (7.24)"," 0.135",""
"PTGENDER (%)","Female","    318 (41.8) ","     78 (46.2) ","    104 (47.9) ","    136 (36.3) "," 0.009",""
"","Male","    443 (58.2) ","     91 (53.8) ","    113 (52.1) ","    239 (63.7) ","",""
"PTEDUCAT (mean (SD))","","  15.57 (3.01)","  14.74 (3.14)","  16.08 (2.87)","  15.65 (2.97)","<0.001",""
"APOE4 (%)","0","    384 (50.5) ","     53 (31.4) ","    160 (73.7) ","    171 (45.6) ","<0.001",""
"","1","    290 (38.1) ","     81 (47.9) ","     52 (24.0) ","    157 (41.9) ","",""
"","2","     87 (11.4) ","     35 (20.7) ","      5 ( 2.3) ","     47 (12.5) ","",""
"EC_bilateral (mean (SD))","","   3.06 (0.58)","   2.61 (0.51)","   3.47 (0.36)","   3.03 (0.55)","<0.001",""
"HIPP_total (mean (SD))","","5803.22 (1123.75)","5042.09 (1020.32)","6580.76 (841.60)","5696.29 (1032.19)","<0.001",""
"CSF_PTAU_bl (median [IQR])","","  28.00 [23.00, 39.50]","  35.00 [26.00, 67.00]","  30.50 [25.25, 38.50]","  27.00 [23.00, 37.50]"," 0.532","nonnorm"
"pT217_bl (median [IQR])","","   1.75 [0.65, 3.13]","     NA [NA, NA]","   1.83 [0.65, 3.26]","   1.44 [0.65, 2.82]"," 0.747","nonnorm"
"AB4240_bl (median [IQR])","","   0.10 [0.09, 0.11]","     NA [NA, NA]","   0.10 [0.09, 0.10]","   0.09 [0.08, 0.11]"," 0.562","nonnorm"
"CSF_NfL_bl (median [IQR])","","1239.00 [961.00, 1635.50]","1489.00 [1169.00, 1842.00]","1044.00 [812.00, 1265.00]","1320.00 [1008.00, 1687.00]","<0.001","nonnorm"
"Plasma_NfL_Q_bl (median [IQR])","","  26.55 [19.00, 33.55]","  30.60 [25.15, 38.35]","  21.60 [16.60, 27.85]","  31.00 [23.70, 40.50]","<0.001","nonnorm"
