diagnosis,neuro,biomarker,r,p,n,p_fdr,sig,stars
CN,EC_bilateral,CSF_PTAU_bl,0.131,0.7577374275927895,12,0.9852095234071152,FALSE,
CN,EC_bilateral,CSF_TAU_bl,-0.033,0.9384097675843162,12,0.9852095234071152,FALSE,
CN,EC_bilateral,CSF_A4240_bl,-0.093,0.8266885826006327,12,0.9852095234071152,FALSE,
CN,EC_bilateral,pT217_bl,0.065,0.8787310138899005,12,0.9852095234071152,FALSE,
CN,EC_bilateral,AB4240_bl,0.357,0.38542787824328045,12,0.9852095234071152,FALSE,
CN,HIPP_total,CSF_PTAU_bl,0.008,0.9852095234071152,12,0.9852095234071152,FALSE,
CN,HIPP_total,CSF_TAU_bl,0.404,0.320382458180319,12,0.9852095234071152,FALSE,
CN,HIPP_total,CSF_A4240_bl,-0.012,0.9784083225441392,12,0.9852095234071152,FALSE,
CN,HIPP_total,pT217_bl,0.384,0.3471692570401515,12,0.9852095234071152,FALSE,
CN,HIPP_total,AB4240_bl,-0.046,0.9136787880485728,12,0.9852095234071152,FALSE,
LMCI,EC_bilateral,CSF_PTAU_bl,-0.165,0.45086660197304773,27,0.7552880077102228,FALSE,
LMCI,EC_bilateral,CSF_TAU_bl,-0.069,0.7552880077102228,27,0.7552880077102228,FALSE,
LMCI,EC_bilateral,CSF_A4240_bl,-0.161,0.4618788026017767,27,0.7552880077102228,FALSE,
LMCI,HIPP_total,CSF_PTAU_bl,0.104,0.6362486079924474,27,0.7552880077102228,FALSE,
LMCI,HIPP_total,CSF_TAU_bl,0.139,0.5258977139748386,27,0.7552880077102228,FALSE,
LMCI,HIPP_total,CSF_A4240_bl,-0.212,0.3321065961533297,27,0.7552880077102228,FALSE,
