diagnosis,neuro,biomarker,r,p,n,p_fdr,sig,stars
CN,EC_bilateral,CSF_PTAU_bl,0.132,0.7545922027814898,12,0.9952276409391299,FALSE,
CN,EC_bilateral,CSF_TAU_bl,-0.029,0.9449927646638165,12,0.9952276409391299,FALSE,
CN,EC_bilateral,CSF_A4240_bl,-0.218,0.6047964549021663,12,0.9952276409391299,FALSE,
CN,EC_bilateral,pT217_bl,0.069,0.8709281943894474,12,0.9952276409391299,FALSE,
CN,EC_bilateral,AB4240_bl,0.387,0.34317208385487724,12,0.8689479805101625,FALSE,
CN,EC_bilateral,CSF_NfL_bl,-0.088,0.37240627736149823,109,0.8689479805101625,FALSE,
CN,EC_bilateral,Plasma_NfL_Q_bl,0.132,0.23717436467888142,86,0.8689479805101625,FALSE,
CN,HIPP_total,CSF_PTAU_bl,0.009,0.9823349829189456,12,0.9952276409391299,FALSE,
CN,HIPP_total,CSF_TAU_bl,0.405,0.3200147010479323,12,0.8689479805101625,FALSE,
CN,HIPP_total,CSF_A4240_bl,-0.003,0.9952276409391299,12,0.9952276409391299,FALSE,
CN,HIPP_total,pT217_bl,0.395,0.33221821530641343,12,0.8689479805101625,FALSE,
CN,HIPP_total,AB4240_bl,-0.069,0.8715393143781711,12,0.9952276409391299,FALSE,
CN,HIPP_total,CSF_NfL_bl,-0.129,0.18799529578788238,109,0.8689479805101625,FALSE,
CN,HIPP_total,Plasma_NfL_Q_bl,0.036,0.749876908546588,86,0.9952276409391299,FALSE,
LMCI,EC_bilateral,CSF_PTAU_bl,-0.149,0.4980008258619488,27,0.7141476487595056,FALSE,
LMCI,EC_bilateral,CSF_TAU_bl,-0.051,0.8158229735224153,27,0.8158229735224153,FALSE,
LMCI,EC_bilateral,CSF_A4240_bl,-0.177,0.42045759501759994,27,0.7141476487595056,FALSE,
LMCI,EC_bilateral,CSF_NfL_bl,-0.205,0.00573735114427258,185,0.0286867557213629,TRUE,*
LMCI,EC_bilateral,Plasma_NfL_Q_bl,-0.143,0.2543688564922395,69,0.7141476487595056,FALSE,
LMCI,HIPP_total,CSF_PTAU_bl,0.115,0.6019548417481029,27,0.7141476487595056,FALSE,
LMCI,HIPP_total,CSF_TAU_bl,0.148,0.5006675796260448,27,0.7141476487595056,FALSE,
LMCI,HIPP_total,CSF_A4240_bl,-0.232,0.28579410643708514,27,0.7141476487595056,FALSE,
LMCI,HIPP_total,CSF_NfL_bl,-0.299,4.271014915550786e-5,185,4.271014915550786e-4,TRUE,***
LMCI,HIPP_total,Plasma_NfL_Q_bl,-0.059,0.6427328838835551,69,0.7141476487595056,FALSE,
AD,EC_bilateral,CSF_NfL_bl,-0.164,0.13420243193940803,89,0.26840486387881607,FALSE,
AD,EC_bilateral,Plasma_NfL_Q_bl,-0.332,0.12112708879891869,27,0.26840486387881607,FALSE,
AD,HIPP_total,CSF_NfL_bl,-0.139,0.20372027876399326,89,0.271627038351991,FALSE,
AD,HIPP_total,Plasma_NfL_Q_bl,-0.017,0.9401807836173193,27,0.9401807836173193,FALSE,
